words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1,,,,,,,
rnn,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
predicted,0.866666667,0.870179629,0.785714286,0.848484848,0.727272727,0.965517241,0.928571429,,,,,,,
able,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
convert,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
equal,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
reshape,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
parameters,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
total,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
params,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
lambda,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
argument,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
successfully,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
every,0.844444444,0.847784883,0.740740741,0.8125,0.705882353,0.965517241,0.896551724,,,,,,,
message,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
mean,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
negative,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
super,0.866666667,0.86863089,0.785714286,0.848484848,0.75,0.965517241,0.896551724,,,,,,,
criterion,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
arrays,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
embedding,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
pass,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
models,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
pred,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
installed,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
find,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
nn,0.844444444,0.847480285,0.785714286,0.774193548,0.727272727,0.965517241,0.866666667,,,,,,,
merge,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
understand,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
sure,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
looks,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
seem,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
regression,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
even,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
opened,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
notebook,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
machine,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
pip,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
checking,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
matrix,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
fine,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
history,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
already,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
devices,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
build,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
raise,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
need,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
id,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
question,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
add,0.833333333,0.835609173,0.692307692,0.787878788,0.705882353,0.965517241,0.896551724,,,,,,,
shuffle,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
without,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
trained,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
units,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
sigmoid,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
solve,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
anyone,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
method,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
reason,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
well,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
compute,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
softmax,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
given,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
arguments,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
row,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
adam,0.844444444,0.847784883,0.740740741,0.8125,0.705882353,0.965517241,0.896551724,,,,,,,
single,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
